semicore,predict
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
