key,a0.70_rp2.40,a0.70_rp3.00,a0.70_rp3.60,a0.70_rp4.20,a0.70_rp4.80,a0.70_rp5.40,hist1,hist2,hist3,hist4,hist5,hist6,hist7,hist8,hist9,hist10,hist11,hist12,hist13,hist14,hist15,hist16,hist17,hist18,hist19,hist20,polytype,id
Fe-bcc_13,7.204939816319689,6.293109479076655,3.735147474650722,4.600638279928719,3.9618976610629066,1.4627568204526629,5.625,2.375,4.625,1.375,0.0,0.0,0.0,0.125,3.5,6.75,1.625,3.25,5.125,16.375,5.5,1.75,0.0,2.0,2.0,5.75,Fe-bcc,13
Fe-bcc_14,6.852332332663226,6.386935289337158,3.408789113967055,4.063944014704944,3.7723546834154043,1.573289343572804,7.625,0.375,2.375,3.625,0.0,0.0,0.0,0.0,0.0,11.875,0.125,0.0,0.0,24.0,8.0,0.0,0.0,0.0,2.0,4.0,Fe-bcc,14
Fe-fcc_13,6.564789878447902,6.069714923429092,3.479123564462485,3.9396574937004405,3.379398147177935,1.2125733254324493,0.0,12.0,0.0,0.0,0.0,0.0,0.1875,5.8125,0.0,0.0,0.0,11.6875,12.3125,0.0,0.0,4.25,7.75,0.0,4.0,17.125,Fe-fcc,13
Fe-fcc_14,6.235189462975201,6.1519180720016085,3.3395522292802378,3.5737194729155406,3.250915036885159,1.2330669713356817,0.125,10.8125,1.0625,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.5,16.25,3.25,0.0,2.0625,9.5,0.4375,3.3125,12.6875,Fe-fcc,14
Fe-hcp_13,7.848962589293105,5.9107078907236374,4.778196621370647,5.774419320408356,3.9263981475350804,1.26365273288549,9.25,0.75,0.0,0.0,0.0,2.0,3.125,0.875,2.0,3.375,9.75,8.375,2.5,6.0,6.0,0.0,4.0,8.0,4.0,10.0,Fe-hcp,13
Fe-hcp_14,7.8030600381546105,5.8825705376461865,4.706696605625815,5.67635274755826,3.9741571909441156,1.2231147426300537,9.625,2.0,0.0,0.0,0.0,1.75,4.25,0.0,2.0,3.625,6.375,8.0,11.125,2.875,2.0,2.0,3.25,5.25,7.375,10.375,Fe-hcp,14
