n_samples,R2,MAE,MSE
100,-0.13372475039698495,1.0709885478019714,1.3830067890177298
100,0.25951052848145895,0.770531271457672,0.8002620146980093
100,0.8126294181564766,0.3945131778717041,0.27818262757216167
100,0.7784907735970583,0.4314528126716614,0.27274301752399327
100,0.011774762105638104,0.8062052645683287,0.9679983282976504
100,0.40949137316102935,0.8365106568336487,0.9080782486578005
100,0.7054642850812519,0.48451237678527825,0.4542882115846498
100,0.6299102803562325,0.7515348377227783,0.8066614699480612
100,-0.38336112514033127,0.5911536178588869,0.5791331284244557
100,0.531585854831895,0.45711316823959347,0.38316159926041815
200,0.37145960521982346,0.7324542803764343,1.2051000998492745
200,0.6875765605846609,0.5177061343193055,0.4078010846610147
200,0.21338860940242987,0.5307254095077514,1.1193660161460663
200,0.02984839694696051,0.622620946407318,1.0613993081357391
200,0.7300260883691907,0.5059087891578675,0.4003079186130035
200,0.2601060896353471,0.5951321120262145,0.5465835753396643
200,0.6883055819909403,0.4306513767242432,0.28546582170001755
200,0.5522707812696673,0.6193936409950258,0.5411774977763611
200,0.31046254813024865,0.9124657211899756,1.5148129077025334
200,0.533304903544555,0.8305323429107666,1.2258975009824928
500,0.751133686739613,0.5060849102973938,0.39658096770565715
500,0.5851236984850381,0.46984318904876704,0.41864853406027863
500,0.7277871318530474,0.590680269908905,0.6269283860753251
500,0.7911866160671994,0.45207302432060237,0.3664482618235948
500,0.6641901237188235,0.5286714199066163,0.5203126941057657
500,0.44295474122280754,0.6218362268447876,0.8131039633233166
500,0.6976882037794012,0.5266175375938414,0.4953870606249759
500,0.6883677271957094,0.5272375332832338,0.4430076348761641
500,0.565063072792516,0.6371225051879884,0.6749917419871031
500,0.7500131229208769,0.5063325943946839,0.4567047707587413
1000,0.688553370961395,0.5192098599910736,0.5136781525321773
1000,0.7560319209148652,0.4784956037759781,0.3981235051232662
1000,0.6859575133183262,0.5404273816108704,0.5946328915459005
1000,0.6871560367841604,0.4669629203081131,0.5289606317872618
1000,0.759653313315603,0.44172954590320584,0.3845530836864318
1000,0.7764214781969084,0.45095416448116316,0.403419712829846
1000,0.7434150618713664,0.4243419440865517,0.3664009429648499
1000,0.7314061459978782,0.4355179593801498,0.3734737524151926
1000,0.7224248887618547,0.4829617847442627,0.513859281294124
1000,0.737835150414961,0.49718981974124915,0.513913125813421
2000,0.7771505060198691,0.40127731091976165,0.36123423873632377
2000,0.8111024087964396,0.3956350664377213,0.2739709590790739
2000,0.7435971659499079,0.45763249175548554,0.44081027866631417
2000,0.7590121505993702,0.41665557511727014,0.3428749515452533
2000,0.7150856566496508,0.49343931034207344,0.525210310810449
2000,0.8065533063902726,0.4083333943009377,0.3242740164423863
2000,0.7956613595154914,0.4251541187763214,0.3192654220142861
2000,0.7886745801832821,0.3924360713720322,0.3330746513271306
2000,0.7829048899660028,0.43747542287111285,0.36200847734442737
2000,0.7026743151661647,0.46455035231113434,0.4566505612722635
5000,0.8223398766235752,0.36764983648729327,0.2535203889514447
5000,0.8387529669096847,0.3779479249914487,0.27157915507560665
5000,0.8120704224364487,0.3947813732337952,0.3186024325186051
5000,0.7812894219816494,0.39390458943176265,0.35907736404026486
5000,0.8084904513565028,0.3772735446262359,0.2879241292309268
5000,0.8047622671655869,0.38698378859996796,0.3172671787629746
5000,0.8103347929621191,0.3682343107217153,0.29327549149948356
5000,0.8329233692464252,0.3637333363819122,0.27053327884245704
5000,0.8298643365829907,0.3815408518338203,0.3005945174688621
5000,0.8348013333097295,0.3929465667088826,0.2971500723256719
10000,0.8396855043000545,0.3463647322049936,0.2578893217693435
10000,0.815196596326583,0.36407165579319,0.3027956415138085
10000,0.8349958546687081,0.3571309391071967,0.2639760183228565
10000,0.8770430547451522,0.31339289868116377,0.2023449191609749
10000,0.8364417871365322,0.3459959330058098,0.2712771269253958
10000,0.876126514371646,0.3265495888077759,0.19756351626700866
10000,0.8575706553425031,0.32604542110586165,0.22101368402265417
10000,0.8723590160859356,0.33533347782532374,0.21450482590515935
10000,0.8726759522608851,0.3274576092629773,0.20730071854712423
10000,0.8486195949919547,0.3507757451624076,0.2509178417463825
20000,0.9014543021143531,0.2846614151499329,0.16023570402149567
20000,0.8806025936614887,0.3078507438324406,0.1948019398860156
20000,0.8569813875016871,0.3136388629900558,0.24294908805163187
20000,0.882945353192758,0.29430454389364374,0.19196088880661863
20000,0.8752501242133277,0.30142007944281896,0.19150630270114102
20000,0.890365852359175,0.29921420227698764,0.17753424323492017
20000,0.8905865803506212,0.2929171689631542,0.17690937929250253
20000,0.8675539738878332,0.3086508007339239,0.22015398434153352
20000,0.8717963667261408,0.30267065339738985,0.21294436728462568
20000,0.9014271295711982,0.29224648564272265,0.16864575388472577
50000,0.9102323520812889,0.256486347382642,0.14374820446481917
50000,0.9217820846643251,0.24401997473761963,0.1279035784555828
50000,0.9083164854969913,0.2581101012825879,0.14943830444134387
50000,0.905941234758806,0.25497288920982564,0.1507576098041943
50000,0.9106550834109658,0.2534147899291875,0.14249094674540583
50000,0.9128776295055308,0.2574718738271865,0.14500670030202445
50000,0.9150188641521995,0.2546130653612855,0.13936388077852097
50000,0.9134825664224352,0.25047817900299346,0.14044216349995425
50000,0.9081835761012806,0.2590676364386718,0.15264207004678998
50000,0.9073294426782728,0.25931508287361765,0.15392349874370398
