semicore,semicorep
Nb,Nb
Nb,Y
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
