# Search results of SQL query from the Crystallography Open Database
# Date and time performed: 2021-11-10T03:50:22+02:00
# Query:
# SELECT data.*
# FROM
#  data 
# WHERE
#  (status is null or status != 'retracted') and
#  (formula REGEXP " P[[:blank:]]*[0-9?[:blank:]]" AND formula REGEXP " In[[:blank:]]*[0-9?[:blank:]]" AND duplicateof IS NULL AND (status is NULL OR status != 'errors') AND (method is NULL OR method != 'theoretical'))
# ORDER BY file asc
file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1526092","5.136","","8.917","","9.237","","86.98","","75.04","","73.53","","391.83","","","","","","","","","","","","","5","P -1","-P 1","","Cs Cu In (P6 O18)","","- Cs Cu In O18 P6 -","- Cs Cu In O18 P6 -","- Cs Cu In O18 P6 -","1","0.5","","Murashova, E.V.; Chudinova, N.N.","Mixed-cation cyclohexaphosphates: synthesis and crystal structure of Cs Cu In P6 O18 - II","Neorganicheskie Materialy","2000","36","","1507","1511","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1526098","14.885","","14.885","","14.885","","90","","90","","90","","3297.97","","","","","","","","","","","","","4","P a -3","-P 2ac 2ab 3","","Cs3 (In3 P12 O36)","","- Cs3 In3 O36 P12 -","- Cs3 In3 O36 P12 -","- Cs12 In12 O144 P48 -","4","0.166667","","Murashova, E.V.; Chudinova, N.N.","Condensed cesium indium phosphates","Neorganicheskie Materialy","2001","37","","1521","1524","","","","","","","","","","","","","","","","","","","","","","has coordinates","147206","2020-10-21","18:00:00",""
"1526246","8.5149","","8.5149","","7.7481","","90","","90","","120","","486.502","","","","","","","","","","","","","4","P 63/m","-P 6c","","In4 (Si2 P6 O25)","","- In4 O25 P6 Si2 -","- In4 O24.9996 P6 Si2 -","- In4 O24.9996 P6 Si2 -","1","0.0833333","","Hanawa, M.; Kobayashi, T.; Imoto, H.","Silicophosphates of rhodium and indium","Zeitschrift fuer Anorganische und Allgemeine Chemie","2000","626","","216","222","","","","","","","","","","","","","","","","","","","","","","has coordinates","147388","2020-10-21","18:00:00",""
"1526604","11.045","","11.045","","11.045","","90","","90","","90","","1347.4","","","","","","","","","","","","","4","P m -3 n","-P 4n 2 3","","Sn10 In14 P22 I8","","- I8 In14 P22 Sn10 -","- I8 In13.992 P22 Sn10.008 -","- I8 In13.992 P22 Sn10.008 -","1","0.0208333","","Shatruk, M.M.; Kovnir, K.A.; Lindsjo, M.; Presnyakov, I.A.; Kloo, L.A.; Shevel'kov, A.V.","Novel compounds Sn10 In14 P22 I8 and Sn14 In10 P21.2 I8 with clathrate I structure: synthesis and crystal and electronic structure","Journal of Solid State Chemistry","2001","161","","233","242","","","","","","","","","","","","","","","","","","","","","","has coordinates","147811","2020-10-21","18:00:00",""
"1526605","24.745","","24.745","","11.067","","90","","90","","90","","6776.49","","","","","","","","","","","","","4","P 42/m","-P 4c","","Sn14 In10 P21.2 I8","","- I8 In10 P21.2 Sn14 -","- I8 In10.0008 P21.2 Sn13.9992 -","- I40 In50.004 P106 Sn69.996 -","5","0.625","","Shatruk, M.M.; Kovnir, K.A.; Shevel'kov, A.V.; Presnyakov, I.A.; Kloo, L.A.; Lindsjo, M.","Novel compounds Sn10 In14 P22 I8 and Sn14 In10 P21.2 I8 with clathrate I structure: synthesis and crystal and electronic structure","Journal of Solid State Chemistry","2001","161","","233","242","","","","","","","","","","","","","","","","","","","","","","has coordinates","147813","2020-10-21","18:00:00",""
"1526726","8.7506","","9.9685","","6.3151","","90","","98.906","","90","","544.227","","","","","","","","","","","","","4","C 1 2 1","C 2y","","K In (P2 S7)","","- In K P2 S7 -","- In K P2 S7 -","- In2 K2 P4 S14 -","2","0.5","","Kopnin, E.; Coste, S.; Jobic, S.; Brec, R.; Evain, M.","Synthesis and crystal structure determination of three layered-typethiophosphate compounds K M P2 S7 (M = Cr, V, In)","Materials Research Bulletin","2000","35","","1401","1410","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531122","9.581","","9.581","","15.9","","90","","90","","120","","1264.01","","","","","","","","","","","","","5","P 61 2 2","P 61 2 (0 0 5)","","In (B P2 O8) (H2 O)0.8","","- B H1.6 In O8.8 P2 -","- B In O8.8 P2 -","- B6 In6 O52.8 P12 -","6","0.5","","Belokoneva, E.L.; Al'-Ama, A.G.; Gurbanova, O.A.; Dimitrova, O.V.; Stefanovich, S.Yu.","Synthesis, crystal structure and properties of a new indium borophosphate In (B P2 O8) * 0.8(H2 O)","Zhurnal Neorganicheskoi Khimii","2001","46","","1115","1120","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531123","9.666","","6.66","","10.73","","90","","90","","109.5","","651.129","","","","","","","","","","","","","5","P 1 1 21/n","-P 2n","","Pb In (P O4) (P O3 (O H))","","- H In O8 P2 Pb -","- In O8 P2 Pb -","- In4 O32 P8 Pb4 -","4","1","","Belokoneva, E.L.; Gurbanova, O.A.; Dimitrova, O.V.; Al'-Ama, A.G.; Stefanovich, S.Yu.","Synthesis and crystal structure of the new indium lead phosphate Pb In (P O4) (P O3 (OH))","Zhurnal Neorganicheskoi Khimii","2001","46","","1121","1126","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531341","12.064","","12.641","","6.428","","90","","114.63","","90","","891.089","","","","","","","","","","","","","6","C 1 2/c 1","-C 2yc","","Na1.066 (Mn0.852 In0.148) (Fe1.5 In0.436 Mn0.064) (P O4)3","","- Fe1.5 In0.584 Mn0.916 Na1.066 O12 P3 -","- Fe1.5 In0.584 Mn0.916 Na1.066 O12 P3 -","- Fe6 In2.336 Mn3.664 Na4.264 O48 P12 -","4","0.5","","Hatert, F.; Hermann, R.P.; Long, G.J.; Grandjean, F.; Fransolet, A.M.","An X-ray Rietveld, infrared and Moessbauer spectral study of the Na Mn (Fe1-x Inx)2 (P O4)3 alluaudite-type solid solution","American Mineralogist","2003","88","","211","222","","","","","","","","","","","","","","","","","","","","","","has coordinates","156777","2020-10-21","18:00:00",""
"1531344","12.131","","12.746","","6.47","","90","","114.84","","90","","907.85","","","","","","","","","","","","","6","C 1 2/c 1","-C 2yc","","Na1.098 (Mn0.780 In0.220) (Fe In0.826 Mn0.174) (P O4)3","","- Fe In1.046 Mn0.954 Na1.098 O12 P3 -","- Fe In1.046 Mn0.954 Na1.098 O12 P3 -","- Fe4 In4.184 Mn3.816 Na4.392 O48 P12 -","4","0.5","","Hatert, F.; Hermann, R.P.; Fransolet, A.M.; Long, G.J.; Grandjean, F.","An X-ray Rietveld, infrared and Moessbauer spectral study of the Na Mn (Fe1-x Inx)2 (P O4)3 alluaudite-type solid solution","American Mineralogist","2003","88","","211","222","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
"1531347","12.222","","12.845","","6.507","","90","","115.11","","90","","925.003","","","","","","","","","","","","","6","C 1 2/c 1","-C 2yc","","Na1.1 (Mn0.754 In0.246) (Fe0.5 In1.28 Mn0.22) (P O4)3","","- Fe0.5 In1.526 Mn0.974 Na1.1 O12 P3 -","- Fe0.5 In1.526 Mn0.974 Na1.1 O12 P3 -","- Fe2 In6.104 Mn3.896 Na4.4 O48 P12 -","4","0.5","","Hatert, F.; Hermann, R.P.; Long, G.J.; Fransolet, A.M.; Grandjean, F.","An X-ray Rietveld, infrared and Moessbauer spectral study of the Na Mn (Fe1-x Inx)2 (P O4)3 alluaudite-type solid solution","American Mineralogist","2003","88","","211","222","","","","","","","","","","","","","","","","","","","","","","has coordinates","156783","2020-10-21","18:00:00",""
"1531350","12.282","","12.948","","6.552","","90","","115.21","","90","","942.704","","","","","","","","","","","","","5","C 1 2/c 1","-C 2yc","","Na1.12 (Mn0.768 In0.232) (In1.7 Mn0.3) (P O4)3","","- In1.932 Mn1.068 Na1.12 O12 P3 -","- In1.932 Mn1.068 Na1.12 O12 P3 -","- In7.728 Mn4.272 Na4.48 O48 P12 -","4","0.5","","Hatert, F.; Hermann, R.P.; Long, G.J.; Fransolet, A.M.; Grandjean, F.","An X-ray Rietveld, infrared and Moessbauer spectral study of the NaMn (Fe1-x Inx)2 (P O4)3 alluaudite-type solid solution","American Mineralogist","2003","88","","211","222","","","","","","","","","","","","","","","","","","","","","","has coordinates","156786","2020-10-21","18:00:00",""
"1531484","5.49","","7.946","","6.929","","90","","90","","90","","302.268","","","","","","","","","","","","","5","P m n n","-P 2n 2","","Li In (P O3 (O H))2","","- H2 In Li O8 P2 -","- H2 In Li O8 P2 -","- H4 In2 Li2 O16 P4 -","2","0.25","","Gurbanova, O.A.; Dimitrova, O.V.; Belokoneva, E.L.; Al'-Ama, A.G.","The new phosphate Li In (P O3 (O H))2: Synthesis and crystal structure","Zhurnal Neorganicheskoi Khimii","2001","46","","1442","1448","","","","","","","","","","","","","","","","","","","","","","has coordinates","176429","2020-10-21","18:00:00",""
